date,BRL,CLP,COP,MXN
2013-05-28,-0.6869088609524908,-1.0192030906799525,-0.8586652573411164,-0.8879307773511508
2013-05-29,-0.6388200104785142,-1.036658780980957,-0.8158786872713011,-0.8815431424962415
2013-05-30,-0.6420692571321612,-0.9748157639145403,-0.8214037356672725,-0.8353556289299754
2013-05-31,-0.6030782972883967,-0.894519588529918,-0.8263334926535776,-0.8263708238593344
2013-06-03,-0.6236135361394461,-0.9157157838954237,-0.7960480421867692,-0.8501314216438035
2013-06-04,-0.6219239278795496,-0.9169626189169243,-0.7960480421867692,-0.8592917111884814
2013-06-05,-0.6184147414936109,-0.8658423830354098,-0.8209014585403661,-0.8096296050363031
2013-06-06,-0.6156853743045473,-0.8596082079279082,-0.8121953216739866,-0.8290732847594882
2013-06-07,-0.6136058564462129,-0.8832980733364144,-0.7958248079081439,-0.8395321594120316
2013-06-10,-0.5922907983982881,-0.8658423830354098,-0.8127162016574452,-0.7894137936273596
2013-06-11,-0.6123061577847542,-0.8850436423665154,-0.8127162016574452,-0.8199129952148103
2013-06-12,-0.5850124858941189,-0.9057411037234208,-0.7972386250061034,-0.7852723600401111
2013-06-13,-0.6276426019899684,-1.0104752455294503,-0.815078764439561,-0.8888081997213304
2013-06-14,-0.5857923050909941,-0.9917727202069452,-0.8197666842906886,-0.8605201025067327
2013-06-17,-0.5647371867753611,-0.9698284238285384,-0.8432620921159826,-0.8172456312094637
2013-06-18,-0.5478411041763964,-0.9082347737664214,-0.8410483521862837,-0.7960120098511121
2013-06-19,-0.4880549657492899,-0.8346715074979012,-0.8058889533028266,-0.674471463133803
2013-06-20,-0.4502337347008384,-0.7217082545499705,-0.8088654103511619,-0.6309162166780765
2013-06-21,-0.46816957622897,-0.7715816554099837,-0.7411696153580931,-0.6514128032454775
2013-06-24,-0.4919540617336665,-0.7641006452809813,-0.7341005298682977,-0.6559403026756048
2013-06-25,-0.5088501443326312,-0.8172158171968966,-0.7305473842668476,-0.6809994855679408
2013-06-26,-0.5418624903336858,-0.8209563222613971,-0.7578935833984253,-0.7023383976107141
2013-06-27,-0.5271758954592007,-0.8501322617645056,-0.7698180144483174,-0.7525620540798075
2013-06-28,-0.4844158094972056,-0.8202082212484969,-0.7683855944938058,-0.7766385239175418
2013-07-01,-0.4872751465524147,-0.8421525176269036,-0.7565355748701225,-0.7730937375420149
2013-07-02,-0.45491264988209024,-0.8658423830354098,-0.7565355748701225,-0.7413661446363129
2013-07-03,-0.434767320629478,-0.8658423830354098,-0.7743571114470279,-0.7757961984421693
2013-07-04,-0.460631323992509,-0.872575292151512,-0.7817424454982091,-0.7881854023091083
2013-07-05,-0.45647228827584063,-0.8109816420893949,-0.7817424454982091,-0.731784692353949
2013-07-08,-0.4433453317951065,-0.8289360663989999,-0.7595120319184572,-0.8012414471773842
2013-07-09,-0.4501037648346922,-0.8035006319603926,-0.7605537918853748,-0.7957312346926546
2013-07-10,-0.44022605500760503,-0.815968982175396,-0.7730549114883817,-0.7941518744263308
2013-07-11,-0.4529631018899019,-0.8521271977989058,-0.7728316772097564,-0.8274588275983573
2013-07-12,-0.438016567283125,-0.8521271977989058,-0.7904113766514849,-0.8231068126422649
2013-07-15,-0.4989724345055446,-0.888784147431016,-0.8007173591813447,-0.8760680269063191
2013-07-16,-0.45465271014979847,-0.888784147431016,-0.8232082127528257,-0.8917212419903275
2013-07-17,-0.49338373026127136,-0.9381588142824301,-0.8506288233106116,-0.9482272426299081
2013-07-18,-0.4909143028044996,-0.9007537636374197,-0.8602465001480442,-0.9354870698148968
2013-07-19,-0.46531023917376085,-0.8770638982289127,-0.8415692321697423,-0.9214483118920199
2013-07-22,-0.4812965327097042,-0.8596082079279082,-0.8402298264979915,-0.9345043567602959
2013-07-23,-0.5085902046003394,-0.8832980733364144,-0.8460711234553491,-0.9364697828694984
2013-07-24,-0.4607612938586546,-0.8359183425194018,-0.8364162409048124,-0.8918265326747489
2013-07-25,-0.46881942555969963,-0.8513790967860055,-0.8271892240549739,-0.8986002333725376
2013-07-26,-0.45166340322844323,-0.8246968273258983,-0.8339234581268316,-0.8755064765894042
